member_casual,rideable_type,day_of_week,month,ride_length
member,classic_bike,1,4,20
member,classic_bike,1,4,28
casual,docked_bike,1,4,69
member,electric_bike,1,4,11
casual,classic_bike,1,4,56
casual,electric_bike,1,4,4
member,classic_bike,1,4,26
member,electric_bike,1,4,15
member,classic_bike,1,4,6
member,electric_bike,1,4,7
casual,electric_bike,1,4,16
casual,electric_bike,1,4,10
member,classic_bike,1,4,27
casual,docked_bike,1,4,10
member,electric_bike,1,4,11
member,classic_bike,1,4,11
member,electric_bike,1,4,3
member,classic_bike,1,4,2
member,classic_bike,1,4,4
member,electric_bike,1,4,9
member,electric_bike,1,4,6
casual,electric_bike,1,4,14
casual,classic_bike,1,4,6
casual,electric_bike,1,4,12
member,classic_bike,1,4,27
casual,classic_bike,1,4,115
member,electric_bike,1,4,12
member,electric_bike,1,4,2
member,electric_bike,1,4,20
casual,classic_bike,1,4,18
member,electric_bike,1,4,6
member,electric_bike,1,4,5
member,classic_bike,1,4,5
member,classic_bike,1,4,9
member,electric_bike,1,4,11
member,classic_bike,1,4,6
member,classic_bike,1,4,3
member,classic_bike,1,4,14
member,classic_bike,1,4,10
member,classic_bike,1,4,5
member,classic_bike,1,4,5
member,classic_bike,1,4,14
casual,classic_bike,1,4,14
casual,electric_bike,1,4,10
member,classic_bike,1,4,4
member,electric_bike,1,4,8
member,classic_bike,1,4,8
member,classic_bike,1,4,17
member,electric_bike,1,4,4
member,classic_bike,1,4,4
member,classic_bike,1,4,2
casual,classic_bike,1,4,8
member,electric_bike,1,4,10
member,classic_bike,1,4,5
member,electric_bike,1,4,20
member,classic_bike,1,4,6
casual,electric_bike,1,4,10
member,electric_bike,1,4,7
member,classic_bike,1,4,5
member,classic_bike,1,4,10
member,classic_bike,1,4,11
member,electric_bike,1,4,19
member,classic_bike,1,4,8
member,classic_bike,1,4,6
casual,classic_bike,1,4,21
member,classic_bike,1,4,5
casual,classic_bike,1,4,22
casual,electric_bike,1,4,19
casual,classic_bike,1,4,19
member,classic_bike,1,4,11
casual,classic_bike,1,4,20
casual,electric_bike,1,4,19
member,classic_bike,1,4,93
member,classic_bike,1,4,10
member,electric_bike,1,4,2
casual,electric_bike,1,4,11
member,classic_bike,1,4,5
member,classic_bike,1,4,13
casual,docked_bike,1,4,4
casual,classic_bike,1,4,22
casual,classic_bike,1,4,12
member,classic_bike,1,4,1
member,classic_bike,1,4,6
casual,classic_bike,1,4,8
member,classic_bike,1,4,13
casual,classic_bike,1,4,15
casual,classic_bike,1,4,22
member,classic_bike,1,4,16
member,classic_bike,1,4,8
member,classic_bike,1,4,8
casual,classic_bike,1,4,13
member,classic_bike,1,4,14
member,classic_bike,1,4,8
member,electric_bike,1,4,1
casual,classic_bike,1,4,6
member,classic_bike,1,4,34
casual,docked_bike,1,4,28
casual,electric_bike,1,4,1
member,electric_bike,1,4,5
member,electric_bike,1,4,9
casual,classic_bike,1,4,7
member,classic_bike,1,4,22
member,classic_bike,1,4,22
member,electric_bike,1,4,17
member,classic_bike,1,4,9
casual,classic_bike,1,4,58
casual,docked_bike,1,4,121
casual,docked_bike,1,4,146
casual,classic_bike,1,4,4
casual,classic_bike,1,4,41
casual,electric_bike,1,4,8
member,classic_bike,1,4,5
member,classic_bike,1,4,12
member,electric_bike,1,4,6
member,classic_bike,1,4,9
casual,docked_bike,1,4,11
member,classic_bike,1,4,2
casual,electric_bike,1,4,19
member,classic_bike,1,4,5
member,electric_bike,1,4,14
casual,classic_bike,1,4,8
casual,electric_bike,1,4,5
member,classic_bike,1,4,11
member,electric_bike,1,4,6
member,classic_bike,1,4,4
member,electric_bike,1,4,10
casual,classic_bike,1,4,7
member,electric_bike,1,4,2
member,electric_bike,1,4,3
member,classic_bike,1,4,31
member,classic_bike,1,4,7
member,classic_bike,1,4,10
